789,0.4888,,,,0.0018853,,,
1834,1.1463,,,,0.0018663,,,
3311,2.3436,2.5349,,,0.0018765,0.0042619,,
5220,4.1022,4.1825,,,0.0018634,0.0042279,,
7561,6.318,6.4263,6.7646,,0.0018653,0.004206,0.0079813,
10334,9.1062,9.5676,9.7942,,0.0018536,0.0041971,0.0079495,
13539,12.897,13.128,13.215,13.824,0.0018573,0.0042025,0.007956,0.013567
17176,16.916,17.229,16.958,17.223,0.001857,0.0042016,0.0079636,0.01357
21245,22.413,23.355,23.429,23.676,0.0018561,0.0041987,0.0079565,0.013619
25746,27.903,28.086,29.574,29.07,0.0018608,0.0042111,0.0079783,0.013623
